id,id_province,code,nom,created_by,created_on,updated_by,updated_on
1,1,DRC08004,MASISI,NULL,55:24.0,NULL,NULL
2,1,DRC08007,RUTSHURU,NULL,55:24.0,NULL,NULL
3,1,DRC08008,WALIKALE,NULL,55:24.0,NULL,NULL
4,1,DRC08006,BENI,NULL,55:24.0,Olivier,54:09.5
5,1,DRC08003,LUBERO,NULL,55:24.0,NULL,NULL
6,1,DRC08005,NYIRAGONGO,NULL,55:24.0,NULL,NULL
7,2,DRC10006,UVIRA,Olivier,03:37.2,NULL,NULL
8,2,DRC10004,SHABUNDA,Olivier,03:37.2,NULL,NULL
9,2,DRC10003,KALEHE,Olivier,03:37.2,NULL,NULL
10,2,DRC10001,KABARE,Olivier,03:37.2,NULL,NULL
11,2,DRC10008,IDJWI,Olivier,03:37.2,NULL,NULL
12,2,DRC10007,FIZI,Olivier,03:37.2,NULL,NULL
13,1,DRC08000,BENI-VILLE,[Import],01:51.0,Olivier,54:03.1
14,1,DRC08001,BUTEMBO,[Import],01:51.0,NULL,NULL
15,1,DRC08002,GOMA,[Import],01:51.0,NULL,NULL
16,2,DRC10000,BUKAVU,[Import],01:51.0,NULL,NULL
17,2,DRC10002,WALUNGU,[Import],01:51.0,NULL,NULL
18,2,DRC10005,MWENGA,[Import],01:51.0,NULL,NULL
